timestamp_s,trial_id,phase,stimulus_side,norm_x,norm_y,raw_lx,raw_ly,face_detected
1777402321.766957,2,fixation,none,-0.014898442789448851,0.01092199695070084,0.3905227482318878,0.4841155171394348,True
1777402321.8467128,2,fixation,none,0.0033883857563182795,0.005749687171600071,0.39435845613479614,0.4857416808605194,True
1777402321.912074,2,fixation,none,-0.0018810020636474967,0.00020316571232392722,0.39511582255363464,0.4842530429363251,True
1777402321.9731464,2,fixation,none,0.0019213483986628699,-0.004381859842942815,0.39513224363327026,0.48566852807998656,True
1777402322.0386887,2,fixation,none,0.002273563760452957,0.0018986877713947914,0.3957882225513458,0.485904324054718,True
1777402322.1003602,2,fixation,none,0.0041481509186325205,0.0036160107713598677,0.3950302183628082,0.4864917159080505,True
1777402322.166873,2,fixation,none,-0.0003440604412924264,-0.0018920123097136976,0.3948015868663788,0.4867643415927887,True
1777402322.230772,2,fixation,none,-0.0026588262324656053,-0.005893975284952058,0.3944509565830231,0.4870786666870117,True
1777402322.2953417,2,fixation,none,0.013296741979818227,0.00038934019189051927,0.3938668668270111,0.4867742836475372,True
1777402322.3755817,2,fixation,none,-0.00034057894735495253,-0.013730434293687699,0.3884037435054779,0.48411986231803894,True
1777402322.4379637,2,fixation,none,-0.0031029791063501566,-0.01584105567607963,0.3873846411705017,0.48333332538604734,True
1777402322.5029898,2,fixation,none,-0.0028809017432174233,-0.022571053341329916,0.3875381529331207,0.48235169649124143,True
1777402322.5650334,2,fixation,none,-0.001852045228803112,-0.026270198678700396,0.38767051696777344,0.4820262253284454,True
1777402322.6297014,2,fixation,none,-0.006933471927724977,-0.021248016557255167,0.3871326446533203,0.48224166631698606,True
1777402322.693869,2,fixation,none,-0.007579796553539797,-0.035351158228480783,0.38704742193222047,0.48182177543640137,True
1777402322.756617,2,fixation,none,-0.006296447582722076,-0.0337762937722359,0.3869352757930756,0.4819942951202393,True
1777402322.822832,2,fixation,none,-0.0034581040555810016,-0.029039178999618498,0.3871541738510132,0.48144835233688354,True
1777402322.902983,2,fixation,none,-0.005498857169630611,-0.03965553598576066,0.3868342399597168,0.48129023909568786,True
1777402322.9658847,2,fixation,none,-0.0024868036546908945,-0.022244855693260956,0.38692853450775144,0.4815968155860901,True
1777402323.028645,2,fixation,none,-0.003746409000348727,-0.03305362735014128,0.3866579055786133,0.481289142370224,True
1777402323.0940497,2,stimulus,left,-0.009776396833473866,-0.04505283388849546,0.3865812659263611,0.48151360750198363,True
1777402323.1575294,2,stimulus,left,-0.006797007353560813,-0.019117756381576645,0.38687687516212466,0.4818600952625275,True
1777402323.2222264,2,stimulus,left,-0.005894336087712393,-0.03206253409890514,0.38673070073127747,0.4815007209777832,True
1777402323.2876265,2,stimulus,left,-0.011271765238157316,-0.030372739148412764,0.3864958584308624,0.48129655718803405,True
1777402323.3491638,2,stimulus,left,-0.006274180450507982,-0.02019429935967776,0.3866579830646515,0.4818762898445129,True
1777402323.4305053,2,stimulus,left,-0.007488840059953095,-0.021944198666050463,0.3865160822868347,0.4814022362232208,True
1777402323.4938426,2,stimulus,left,-0.009219824403736254,-0.02026654889018875,0.3864344656467438,0.48125846982002257,True
1777402323.559313,2,stimulus,left,-0.008274782481469733,-0.013938602317187243,0.38637635111808777,0.48190362453460694,True
1777402323.6213434,2,stimulus,left,-0.0041687680639087565,-0.003948705977811273,0.3906822383403778,0.48168579339981077,True
1777402323.684824,2,stimulus,left,0.012528627795938385,0.0032489039254931518,0.39741685390472414,0.4820419132709503,True
1777402323.7483518,2,stimulus,left,-0.005085219052005874,0.017406467876683318,0.39784873723983766,0.4808586657047272,True
1777402323.8158736,2,stimulus,left,-0.0047611550174238015,-0.0003227673280751242,0.3976865351200104,0.4823670327663422,True
1777402323.8799376,2,stimulus,left,-0.00034192161087065465,-0.03693173069972766,0.3982963263988495,0.4800732135772705,True
1777402323.95599,2,stimulus,left,-0.00526374029979193,-0.032285579108791485,0.3979419946670532,0.48068036437034606,True
1777402324.020558,2,stimulus,left,-4.9998715493382306e-05,-0.020399976082208227,0.3981607794761658,0.4803197801113129,True
1777402324.0864835,2,stimulus,left,-0.008552159219552546,-0.022318127090259043,0.39779636859893797,0.48110306859016416,True
1777402324.1501775,2,stimulus,left,-0.0072243030337461045,-0.028138754975440383,0.397896534204483,0.4809265315532684,True
1777402324.213009,2,stimulus,left,-0.008226161971559232,-0.0152328689708352,0.3981496810913086,0.48083553910255433,True
1777402324.2781582,2,stimulus,left,-0.0054924828073079635,-0.022519724331711455,0.39831318259239196,0.48021148443222045,True
1777402324.3401856,2,stimulus,left,-0.01053013898091959,-0.01797512589800454,0.3981961369514465,0.4803357064723969,True
1777402324.4047217,2,stimulus,left,-0.010424485688398377,-0.009315761662229027,0.3982910990715027,0.4805426955223083,True
1777402324.4870038,2,stimulus,left,-0.016600324746763206,-0.009026437890109151,0.3984679400920868,0.48085665702819824,True
1777402324.5507753,2,stimulus,left,-0.012727491436285376,-0.0009780933559682126,0.39842795133590697,0.4815459907054901,True
1777402324.6144598,2,stimulus,left,-0.013220717346984934,-0.00414975639189219,0.3985621750354767,0.48157255053520204,True
1777402324.6791189,2,stimulus,left,-0.017279127088220436,-0.009967372451855416,0.398547089099884,0.48169209361076354,True
1777402324.7435222,2,stimulus,left,-0.020051176719977692,-0.018059913463633004,0.3982956647872925,0.48206706047058107,True
1777402324.8051941,2,stimulus,left,-0.015040428172437892,-0.016293826832555758,0.3988280236721039,0.4820292592048645,True
1777402324.869826,2,stimulus,left,-0.014463318720179918,-0.00951796618742018,0.39909988045692446,0.48177993297576904,True
1777402324.9342542,2,stimulus,left,-0.01735276557974308,-0.008636339428586659,0.3986484110355377,0.48170473575592043,True
1777402325.0146,2,stimulus,left,-0.016916053568317935,-0.013826844003368532,0.3986691951751709,0.4820948004722595,True
1777402325.076434,2,stimulus,left,-0.017335741195818266,-0.008360672995754603,0.39896159768104555,0.482245671749115,True
1777402325.3948433,3,fixation,none,-0.01325181152190158,-0.007419603640767436,0.39918196201324463,0.4813265085220337,True
1777402325.4108493,3,fixation,none,-0.010528237477880564,-0.011524935477787768,0.4001002490520477,0.48160051107406615,True
1777402325.4632924,3,fixation,none,-0.011441235211354206,-0.020313307718849982,0.3999747157096863,0.48180307149887086,True
1777402325.5421968,3,fixation,none,-0.00362092153431659,-0.020507852024140072,0.3999853372573853,0.48208227157592776,True
1777402325.6054668,3,fixation,none,-0.010628099455274653,-0.025062857747216616,0.39963665008544924,0.48197293281555176,True
1777402325.6681283,3,fixation,none,-0.011408217920016006,-0.005843581551044585,0.399832147359848,0.48228402733802794,True
1777402325.7329051,3,fixation,none,-0.016641022852833753,-0.02963922998231272,0.399068558216095,0.48110904097557067,True
1777402325.7976627,3,fixation,none,0.014218642963039596,-0.016196245611960425,0.3926751911640167,0.4811594545841217,True
1777402325.8615284,3,fixation,none,-0.01051312348277833,0.0005004785275510848,0.38896349668502805,0.48076303005218507,True
1777402325.9254894,3,fixation,none,-0.010937423159753656,-0.018041074417650682,0.3871169865131378,0.4819617748260498,True
1777402325.9895132,3,fixation,none,-0.0085140172106557,-0.02113135888072093,0.38573631048202517,0.483645099401474,True
1777402326.0703647,3,fixation,none,-0.005438483642837166,-0.02696080012896651,0.38484999537467957,0.48364812731742857,True
1777402326.1329875,3,fixation,none,-0.007867610085838361,-0.024957740860706012,0.3842510640621185,0.48380187153816223,True
